Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Large_Transaction,Log_Amount,Amount_Level
-0.003740322939543193,-0.0032924830549629818,-0.009776408031443745,-0.015382733658032671,-0.04404124406814212,-0.004610435053889191,-0.012668147567173596,-0.015877122792021213,-0.010356487692262085,-0.005489427201650865,-0.048019534262485675,-0.04202859424216957,-0.0758341856694995,-0.0025793168195917043,-0.0795685985831994,-0.007535831944376111,-0.01885812945863911,-0.03722330416787558,0.0003225420526624024,-0.004692452784657705,-0.003125992327030173,-0.0041644228833490286,-0.0034526916894158234,-0.0015864246350630314,-0.01492647458486707,-0.0032920150919916393,-0.004861715028717341,-0.003574588861163985,-0.0012782143583715672,-0.005487472944530807,-4.4232568126347934e-05,-0.0023948756134927088,-0.0007008325919809505
-0.002459399651804537,-0.005948595839487213,-0.0063504557707922136,-0.0640958681120664,-0.022913238574894117,-0.005749747748261711,-0.0016944808193062578,-0.01229087267132588,-0.00227757042750088,-0.005020127646661743,-0.039716733167382785,-0.07348059982103938,-0.08234137625572303,-0.0042095251787495885,-0.06297999090234431,-0.004517433029297767,-0.016044149137524534,-0.02953421151113293,-0.007508535298580292,-0.004822116113602259,-0.004026849014671627,-0.005691303605232857,-0.004378926474375472,-0.001975867183279482,-0.0036060486783548837,-0.0028150128468170323,-0.004409748053341265,-0.0033190161083695544,-0.001470262965943973,-0.004075345581165718,-0.0007820648861320711,-0.008481510063489902,-0.001155187978847841
-0.00651018911182009,-0.004284050684909766,-0.007341518893428326,-0.01268762083919618,-0.08823589477554405,-0.008331814568313245,-0.003224180357821416,-0.026527053517947402,0.008596783686469872,-0.0028248246297893228,-0.0378260805491777,-0.07962712119673489,-0.04969560158664382,-0.0045719728852525385,-0.0643197955227636,-0.005547613802544868,-0.0035934184108561925,-0.033068562118441974,-0.014137147653901972,-0.00701619519045168,-0.003987163084018711,-0.0016112232934090832,-0.003109377474276485,-0.002820948921538369,-0.0033515386569459744,-0.004179518862968434,-0.017252643056361764,-0.006029570428516828,-0.0026189506082078045,0.0009380657199935709,-3.1116574204618544e-05,-0.00404617660249573,-0.001268136664413772
-0.002799170914107517,-0.0029997408893601024,-0.0034550334179001916,-0.07868574215486758,-0.034982221958420975,-0.0037449932271093832,-0.0016271416115030744,-0.013222747894229558,-0.0029392851109979576,-0.004839067713012377,-0.040114897221852755,-0.07866595205772413,-0.06387192594252354,-0.005240207303464494,-0.056690498182090654,-0.00433137597494129,-0.016121786204444634,-0.03148775891665995,-0.006694805095756479,-0.005149315918402381,-0.0041362577458046185,-0.006241094922299452,-0.0037716978193149796,-0.00202503345204916,-0.004192004549624987,-0.0020435137132491813,-0.004138059704777993,-0.006509445566196942,-0.0019426188848273233,-0.004200735531745941,-3.7306337600303756e-05,-0.0024894508502303885,-0.0007512843268548323
-0.02137041684331195,-0.004839114170103705,-0.006530578914985656,-0.14443535997319742,0.05092123234400184,-0.0036271990491177296,-0.0006875293854135088,-0.01667169807218297,-0.01608249211541404,-0.004172404229598887,-0.060540430277546,-0.013009686144771977,0.0448808845369404,-0.0038275068824266244,-0.11202001393750528,-0.019013877216612376,-0.023264542771422238,-0.036568300755981324,-0.01332890974168503,-0.0017036586514128458,-0.004879438351961576,-0.009218000192492398,-0.004305623382744366,-0.0018419762401653543,-0.002010167380682683,-0.008754254113649357,-0.005641827322579439,-0.013376118516441354,-0.008386109613373362,-0.006552382428000865,-2.5382884042450306e-05,-0.007649194769685054,-0.0016100936690561442
-0.010492385069684682,-0.0042575029780005475,-0.01178805338249046,-0.07826689131878366,-0.026462977640563354,-0.00421710063942041,-0.0017018121900333081,0.00855425008618283,-0.005512163045745527,-0.00986643835028213,-0.04418815732711944,-0.0841540208753464,-0.06005071162805182,-0.0028082567242714482,-0.06834977081068065,-0.0029366475894563528,-0.021120554940235063,-0.03233928614193133,-0.0070591371223127,-0.0018783820647440927,-0.003936032574751467,0.0007041641249811867,-0.004389796034836023,6.0654083857046455e-05,-0.001942384230732806,-0.0036678201523614304,-0.00260155781758926,-0.0033416244600165037,-0.0029187553222839962,-0.005343408820000133,-5.816354279075162e-05,-0.0027777482006033313,-0.0010336984162617852
-0.002950075070452992,-0.004719410148734686,-0.01035349042111976,-0.013597128349557962,-0.022650460441957176,-0.0015354903219695624,-0.014076696824945127,-0.010498550161908584,-0.007853299954409764,-0.0227051743263468,-0.039184425802017135,-0.08021358312309193,-0.09484215764132303,-0.003908842473989648,-0.061550175290777234,-0.002889102805540311,-0.01869158408426664,-0.03825042176330595,-0.0061056599858145474,-0.005481766845569814,-0.0034358762789086024,-0.005451032649024026,-0.0030510082742672856,-0.002290137660034328,-0.005771993462355067,-0.002544955574392497,-0.0036061400750650083,-0.005174551820975908,-0.0020148708123910297,-0.0007850014288029679,-6.529659049467839e-05,-0.0030250192538115337,-0.0008687913987252738
-0.0020288685067270393,-0.005704392036833106,-0.00890826300205074,-0.06711396981732978,-0.06805747233012467,-0.007798895182501905,-0.0031007727612085757,-0.015214193835537744,-0.003160790455532973,-0.003398114534804155,-0.04807363005486639,-0.010655356406015152,-0.08958815512635603,-0.0031203048353744176,-0.06671800416650324,-0.0029550475671023552,-0.017378021097504023,-0.03102159353503142,-0.00694041544344115,-0.00447160885822952,-0.0030976263393071466,-0.004966039477945706,-0.002807248091678713,-0.0017484733373213423,-0.001498319942361367,-0.0042656891814618954,-0.003009771849777907,-0.002828077752861668,-0.002116312533560408,-0.004912382204903723,-3.759455893076533e-05,-0.002462347169608552,-0.0009844191236476087
-0.0033854408222365718,-0.006460445723047314,-0.006062626097251945,-0.023961112977367822,-0.026900980566857975,-0.004856654762707903,-0.0023196113269310344,-0.01485556923051482,-0.0028767110876659315,-0.006244473809789202,-0.055043452497062974,-0.04310383323117361,-0.10964946440093663,-0.007936462242394762,-0.0511868806123606,-0.010734312936733787,-0.01863533295913202,-0.03197974459957841,-0.008457559185013638,-0.006593559904136114,-0.005098043743086171,-0.005835455714756788,-0.0038227646536058723,-0.0023963285396141395,-0.00754806210230288,-0.008749974195363521,-0.00430163619174047,-0.008034590327183023,-0.0019216337237623986,-0.0004641681766203745,-4.545531549357899e-05,-0.0080297727638811,-0.0026500567015895946
-0.007932365672573508,-0.0037158247303581593,-0.007640334075022394,-0.1000935943649003,0.03478114242966806,-0.007542255645627788,-0.009541474817707967,-0.019292011652238688,-0.00791133442022942,-0.00937172203661294,-0.052561195123589366,-0.010978038478624547,-0.03141839651143957,-0.02375203367309451,-0.11051458709691217,-0.0031185108894593925,-0.016084303979974606,-0.03709101450192715,-0.01669321277278276,-0.00413381968137462,-0.005962983422583205,-0.005367151686440435,-0.0035866873794080834,-0.0035390976675827904,-0.004088054377666451,-0.006214550192022455,-0.0048136639767515635,-0.007253730581147157,-0.0029704222377970155,-0.006766000586578435,-2.7995556590157653e-05,-0.003733307167464891,-0.0012136385894813081
